UserID,Amount,MerchantName,Timestamp
123e4567-e89b-12d3-a456-426614174004,379.518,eBay,2025-03-25T04:41:27Z
123e4567-e89b-12d3-a456-426614174002,1740.545,eBay,2025-04-01T05:05:27Z
123e4567-e89b-12d3-a456-426614174000,1988.105,eBay,2025-04-08T11:12:27Z
123e4567-e89b-12d3-a456-426614174001,2062.313,eBay,2025-04-18T22:25:27Z
123e4567-e89b-12d3-a456-426614174002,2434.801,eBay,2025-04-04T09:45:27Z
123e4567-e89b-12d3-a456-426614174000,3332.166,eBay,2025-03-22T21:17:27Z
123e4567-e89b-12d3-a456-426614174000,3842.701,BestBuy,2025-03-23T14:35:27Z
123e4567-e89b-12d3-a456-426614174002,4592.282,eBay,2025-03-27T10:56:27Z
123e4567-e89b-12d3-a456-426614174003,4634.815,BestBuy,2025-04-04T02:51:27Z
123e4567-e89b-12d3-a456-426614174001,4811.665,eBay,2025-03-25T02:43:27Z
123e4567-e89b-12d3-a456-426614174001,4866.888,eBay,2025-04-01T15:16:27Z
123e4567-e89b-12d3-a456-426614174002,5881.276,BestBuy,2025-04-15T21:33:27Z
123e4567-e89b-12d3-a456-426614174000,5896.613,BestBuy,2025-04-03T06:10:27Z
123e4567-e89b-12d3-a456-426614174003,5917.532,eBay,2025-03-25T02:40:27Z
123e4567-e89b-12d3-a456-426614174001,6091.884,eBay,2025-03-22T21:02:27Z
123e4567-e89b-12d3-a456-426614174003,6256.693,eBay,2025-03-19T08:56:27Z
123e4567-e89b-12d3-a456-426614174000,6621.598,BestBuy,2025-04-15T15:20:27Z
123e4567-e89b-12d3-a456-426614174001,6934.327,eBay,2025-03-24T08:37:27Z
123e4567-e89b-12d3-a456-426614174001,7294.874,BestBuy,2025-04-08T03:48:27Z
123e4567-e89b-12d3-a456-426614174004,7449.592,BestBuy,2025-03-30T02:50:27Z
123e4567-e89b-12d3-a456-426614174000,7516.449,BestBuy,2025-04-17T12:01:27Z
123e4567-e89b-12d3-a456-426614174001,7547.827,BestBuy,2025-03-19T23:08:27Z
123e4567-e89b-12d3-a456-426614174001,7597.326,BestBuy,2025-03-19T04:49:27Z
123e4567-e89b-12d3-a456-426614174000,8342.003,eBay,2025-03-31T02:01:27Z
123e4567-e89b-12d3-a456-426614174002,8700.676,BestBuy,2025-04-10T14:01:27Z
123e4567-e89b-12d3-a456-426614174004,8746.39,eBay,2025-03-23T18:33:27Z
123e4567-e89b-12d3-a456-426614174002,8845.435,BestBuy,2025-04-01T08:47:27Z
123e4567-e89b-12d3-a456-426614174001,8989.658,eBay,2025-04-17T21:16:27Z
123e4567-e89b-12d3-a456-426614174004,9011.693,eBay,2025-03-30T05:23:27Z
123e4567-e89b-12d3-a456-426614174000,9425.046,eBay,2025-04-13T01:23:27Z
123e4567-e89b-12d3-a456-426614174000,10112.097,BestBuy,2025-04-18T13:56:27Z
123e4567-e89b-12d3-a456-426614174001,10211.183,eBay,2025-03-30T03:01:27Z
